Metric,Value
dataset_info_outbreak_components_count,220
dataset_info_outbreak_components_pens,6
dataset_info_control_components_count,1050
dataset_info_control_components_pens,6
outbreak_trajectories_upright_tails_days,"[-10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0]"
outbreak_trajectories_upright_tails_means,"[0.8665662813959859, 0.8623590516776207, 0.8528219071543429, 0.838260979269835, 0.814821015039565, 0.780851787899803, 0.7440238466897449, 0.686120423838019, 0.6207756581124073, 0.5427236382023977, 0.4819672649470025]"
outbreak_trajectories_upright_tails_stds,"[0.07006071656431762, 0.07734623214368438, 0.08386549860879752, 0.09043061429938104, 0.11024639814962676, 0.14506717466819924, 0.1849934836990952, 0.19969288714772915, 0.19342953141188554, 0.18904104558578622, 0.18332162713654138]"
outbreak_trajectories_upright_tails_counts,"[20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]"
outbreak_trajectories_hanging_tails_days,"[-10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0]"
outbreak_trajectories_hanging_tails_means,"[0.1334337186040141, 0.1376409483223792, 0.14717809284565717, 0.16173902073016497, 0.1851789849604349, 0.219148212100197, 0.25597615331025514, 0.31387957616198103, 0.3792243418875927, 0.45727636179760234, 0.5180327350529976]"
outbreak_trajectories_hanging_tails_stds,"[0.07006071656431757, 0.0773462321436844, 0.08386549860879755, 0.09043061429938104, 0.11024639814962675, 0.1450671746681992, 0.1849934836990952, 0.1996928871477292, 0.1934295314118855, 0.18904104558578622, 0.18332162713654138]"
outbreak_trajectories_hanging_tails_counts,"[20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]"
outbreak_trajectories_posture_diff_days,"[-10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0]"
outbreak_trajectories_posture_diff_means,"[0.7331325627919718, 0.7247181033552417, 0.7056438143086856, 0.6765219585396701, 0.6296420300791302, 0.5617035757996061, 0.4880476933794897, 0.37224084767603793, 0.24155131622481468, 0.0854472764047954, -0.036065470105995076]"
outbreak_trajectories_posture_diff_stds,"[0.14012143312863515, 0.15469246428736877, 0.16773099721759513, 0.18086122859876208, 0.2204927962992535, 0.2901343493363984, 0.36998696739819037, 0.3993857742954584, 0.386859062823771, 0.3780820911715725, 0.36664325427308275]"
outbreak_trajectories_posture_diff_counts,"[20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]"
comparison_data_common_days,"[10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]"
comparison_data_days_x,"[-10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0]"
comparison_data_valid_indices,"[True, True, True, True, True, True, True, True, True, True, True]"
comparison_data_x_plot_comp,"[-10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0]"
comparison_data_metrics_posture_diff_outbreak_mean,"[0.7331325627919718, 0.7247181033552417, 0.7056438143086856, 0.6765219585396701, 0.6296420300791302, 0.5617035757996061, 0.4880476933794897, 0.37224084767603793, 0.24155131622481468, 0.0854472764047954, -0.036065470105995076]"
comparison_data_metrics_posture_diff_outbreak_std,"[0.14012143312863515, 0.15469246428736877, 0.16773099721759513, 0.18086122859876208, 0.2204927962992535, 0.2901343493363984, 0.36998696739819037, 0.3993857742954584, 0.386859062823771, 0.3780820911715725, 0.36664325427308275]"
comparison_data_metrics_posture_diff_outbreak_count,"[20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]"
comparison_data_metrics_posture_diff_control_mean,"[0.7191095678997423, 0.7278280948990412, 0.7289658706571392, 0.7283262400448532, 0.730270854357149, 0.7349654342371004, 0.7375372166209578, 0.7369860012621148, 0.7366539520033533, 0.7360257361244739, 0.7313706078279406]"
comparison_data_metrics_posture_diff_control_std,"[0.10561324998194094, 0.10861000550820807, 0.1030308617434639, 0.10183942859052739, 0.09831824559346392, 0.09959007588808047, 0.09929439800699896, 0.1035709571047287, 0.10221539454576346, 0.10426123254612406, 0.11147822692771964]"
