pen,datespan,datespan_gt,culprit_removal_date,value_at_removal,effect_size_1d,value_1d_before,abs_change_1d,pct_change_1d,effect_size_3d,value_3d_before,abs_change_3d,pct_change_3d,effect_size_5d,value_5d_before,abs_change_5d,pct_change_5d,effect_size_7d,value_7d_before,abs_change_7d,pct_change_7d,1d_window_avg,1d_window_min,1d_window_max,1d_window_std,1d_window_ci_lower,1d_window_ci_upper,1d_window_slope,1d_window_slope_p_value,1d_window_slope_r_squared,1d_window_slope_std_err,3d_window_avg,3d_window_min,3d_window_max,3d_window_std,3d_window_ci_lower,3d_window_ci_upper,3d_window_slope,3d_window_slope_p_value,3d_window_slope_r_squared,3d_window_slope_std_err,5d_window_avg,5d_window_min,5d_window_max,5d_window_std,5d_window_ci_lower,5d_window_ci_upper,5d_window_slope,5d_window_slope_p_value,5d_window_slope_r_squared,5d_window_slope_std_err,7d_window_avg,7d_window_min,7d_window_max,7d_window_std,7d_window_ci_lower,7d_window_ci_upper,7d_window_slope,7d_window_slope_p_value,7d_window_slope_r_squared,7d_window_slope_std_err,overall_change_rate,change_acceleration,pattern_category
Pen 3,230515_230621,230515_230622,2023-06-07,0.36028008265184286,-1.9185202935136085,0.5282479571422017,-0.16796787449035888,-37.80812016451227,-6.071227747703846,0.8527715171885553,-0.4924914345367124,-81.19876097628654,-6.655529323761656,0.8997655078180746,-0.5394854251662318,-85.62950884420583,-6.800462574922872,0.9007697811889348,-0.540489698537092,-85.72059107812332,0.4407646891784731,0.36028008265184286,0.5212492957051035,0.04948800961400988,0.41986773543246714,0.4616616429244791,-0.16796787449035885,2.229373462400725e-170,0.9999999999999996,7.546576810398273e-10,0.6087252311492777,0.36028008265184286,0.8464752945809049,0.14512274536572078,0.5746230578890738,0.6428274044094816,-0.16637598152699906,6.867924782951664e-116,0.9994519441092437,0.0004656644425194065,0.7171632508627019,0.36028008265184286,0.8991232404020636,0.1744419717789227,0.6856315454372142,0.7486949562881897,-0.11553299715622731,4.9581124732756954e-67,0.9214525851024475,0.00310523511103505,0.770317117822405,0.36028008265184286,0.9061568483017141,0.16967662945690107,0.7444722601733013,0.7961619754715087,-0.07466276625765372,4.5174116134458795e-59,0.795346460697428,0.002939554293349386,-0.07721281407672742,-0.022928303817336335,Gleichmäßige Abnahme
Pen 4,221003_221106,221003_221110,2022-11-06,0.6350941644117436,0.7567489625992163,0.5922907055485164,0.04280345886322723,6.97474116079223,1.0893303047944454,0.5796476365751376,0.055446527836605974,9.128940453281523,-1.4291258231153918,0.7069457389363984,-0.07185157452465485,-10.707814923445781,-1.7155363828104837,0.7221985157614542,-0.08710435134971062,-12.83501379210203,0.6145841737064472,0.5940741830011509,0.6350941644117436,0.01261109000851141,0.6092589774286002,0.6199093699842942,0.04280345886322719,3.4444921874999685e-218,1.0,0.0,0.5777149933359265,0.5323282379692263,0.6350941644117436,0.030285400534121713,0.5705982731163182,0.5848317135555348,0.028536428911115894,9.340241694249349e-19,0.6751250641432519,0.0023660100855444795,0.6133613423773983,0.5323282379692263,0.7063653784774917,0.05588999877638103,0.6032588024916352,0.6234638822631613,-0.023675547864892992,8.863344392430801e-14,0.3769595600243262,0.0028020105831227495,0.6471121365872253,0.5323282379692263,0.7487238830585149,0.07159518257577262,0.6362068792871772,0.6580173938872734,-0.029495002222118417,6.475065273448625e-45,0.6971424389526999,0.0015088735263205561,-0.012443478764244374,0.014507857783308577,Stabil
Pen 4,221226_230126,221219_230126,2023-01-20,-0.5664579352496172,-0.014643433219667799,-0.5594656585157655,-0.006992276733851721,-1.2420517293660613,-0.10079482736004905,-0.524434609338501,-0.04202332591111624,-7.704393273121641,-2.043066532690531,0.17080590277555138,-0.7372638380251686,-200.0,-3.8266178937413113,0.7871775377072795,-1.3536354729568967,-200.0,-0.5631074693146466,-0.5664579352496172,-0.5597570033796759,0.0020601192893497894,-0.5639773813971202,-0.5622375572321731,-0.006992276733851745,3.4444921874999685e-218,1.0,0.0,-0.5501784168616987,-0.5664579352496172,-0.5252809936918463,0.012449542980682723,-0.5531039160359851,-0.5472529176874122,-0.014042228595084609,8.63414998711035e-54,0.9674240655808449,0.0003079831924031582,-0.42137040886749805,-0.5664579352496172,0.15264656252926964,0.20355329896117427,-0.45816420680372105,-0.38457661093127504,-0.11784411810853596,5.482602728564971e-33,0.7040806641063543,0.007033028382474578,-0.14839986788318424,-0.5664579352496172,0.7794577371628733,0.47603387596211466,-0.22090854394406156,-0.0758911918223069,-0.21735011931994708,7.731586172980609e-72,0.8563204266296723,0.006910113835856706,-0.19337649613669952,0.05082697268121562,Gleichmäßige Abnahme
Pen 4,230227_230406,230227_230406,2023-03-23,0.20962966250675222,-0.12491987861659078,0.2332110469995405,-0.023581384492788293,-10.650052710410629,-0.17863397136010326,0.241062098356868,-0.03143243585011579,-13.948529163206636,-0.45463820742468625,0.2807171466349451,-0.07108748412819291,-28.99477790122643,-2.2610353970420323,0.5339030417020226,-0.32427337919527044,-87.22504803345367,0.2209290759095466,0.20962966250675222,0.232228489312341,0.0069477320352574565,0.21799530596986172,0.2238628458492315,-0.02358138449278828,4.564626100491149e-167,0.9999999999999991,1.4983320434449751e-10,0.23411975406388164,0.20962966250675222,0.24445717717383833,0.010524493068125924,0.23164661944132078,0.2365928886864425,-0.010898153290294891,2.1944828081431382e-27,0.8153706579538066,0.0006198358822001448,0.24235630239153907,0.20962966250675222,0.2794105477797087,0.014970016127400797,0.2396503587821523,0.24506224600092585,-0.009529872697177508,1.1545175399974866e-50,0.8513194366117264,0.00036662908939597943,0.28892663724088097,0.20962966250675222,0.5286849799939057,0.0845574261301485,0.276046992893258,0.3018062815885039,-0.034938746856569634,2.0501984998492472e-45,0.7012992838442782,0.001769781758179741,-0.04632476845646721,0.006010148391568685,Gleichmäßige Abnahme
Pen 4,230515_230621,230515_230622,2023-06-17,0.23240327280975284,0.11365024851008469,0.20912258149372775,0.023280691316025087,10.545561981982246,0.16286172053034717,0.20170480868504725,0.030698464124705588,14.1432354905714,-0.5605305864884847,0.32727881556957783,-0.09487554275982499,-33.9033693340288,-1.887556473885018,0.5295556112488686,-0.2971523384391158,-77.99694830154492,0.22124794155415747,0.21009261029856213,0.23240327280975284,0.006859139458446716,0.21835158097876695,0.224144302129548,0.023280691316025094,1.0891006269402914e-173,0.9999999999999998,7.396131852016434e-11,0.21454045573677874,0.2023339913912235,0.23240327280975284,0.006920441061418873,0.21291423181496144,0.21616667965859604,0.006326603990569721,5.391334382483344e-17,0.6355143777522548,0.0005726630229805595,0.2319225882887106,0.20170480868504725,0.3242303602229009,0.031836493155649036,0.2261679014221994,0.2376772751552218,-0.01514577666109347,3.0942053420121973e-18,0.4754398026263175,0.0014645373210316142,0.2861333934070503,0.20170480868504725,0.5249540315679392,0.0953378442265996,0.2716116939809383,0.3006550928331623,-0.04106206947824125,1.2836704362194328e-53,0.7619794676015889,0.0017812397003705072,-0.042450334062730834,0.011847168367202744,Stabil
Pen 5,220725_220831,220725_220901,2022-08-23,-0.3689745457443436,-0.3623804137631485,-0.28248867417946405,-0.08648587156487952,-26.551267644854775,-3.8032489989665925,0.3767913514295076,-0.7457658971738512,-200.0,-5.872334288087664,0.7661500729385823,-1.1351246186829258,-200.0,-5.838819923645566,0.7601729042423542,-1.1291474499866978,-200.0,-0.32753339895283884,-0.3689745457443436,-0.28609225216133405,0.025481144275147964,-0.3382931425243873,-0.3167736553812904,-0.0864858715648795,2.229373462400725e-170,0.9999999999999996,3.8856970403353263e-10,-0.08726149346372913,-0.3689745457443436,0.3624389026395344,0.23216911676167074,-0.14181856117577088,-0.03270442575168739,-0.26092073381336767,7.926929969583732e-51,0.9604171602350623,0.006331157094871365,0.20470522028857177,-0.3689745457443436,0.7643084661362014,0.4089073791000117,0.1307921196018269,0.27861832097531664,-0.2793384721363756,1.5750416530287676e-102,0.9803349771195455,0.003642082077582855,0.3647806546901287,-0.3689745457443436,0.7666524684497361,0.4284755474043704,0.29951598291869547,0.43004532646156196,-0.1997379803112104,2.4309397524886744e-82,0.8926094502694011,0.005377233586567469,-0.16130677856952827,-0.015295688375539317,Steile Abnahme
Pen 5,221004_221104,221003_221110,2022-11-03,-0.3896839376651582,0.0779618068889971,-0.41147737292816666,0.021793435263008476,5.440461234172347,-0.7977649707733557,-0.19123989146252854,-0.19844404620262965,-68.32016049354097,-2.001236530281088,0.07147089263136096,-0.46115483029651916,-199.99999999999997,-2.7862451915174384,0.22782292762366085,-0.617506865288819,-200.0,-0.4001266253953497,-0.4105693131255413,-0.3896839376651582,0.00642095244159305,-0.4028379558211199,-0.3974152949695795,0.02179343526300847,3.4444921874999685e-218,1.0,0.0,-0.33617019458518266,-0.41147737292816666,-0.19587310620579748,0.06940628074126015,-0.352479870957553,-0.3198605182128123,-0.07444984743017141,2.536851613726056e-33,0.8749469188173885,0.0033641173547098928,-0.2215557586217531,-0.41147737292816666,0.06707999841328989,0.15847634914455375,-0.2502015570335353,-0.19290996020997092,-0.10706293797959932,1.4948758997393652e-83,0.9587652511909167,0.002043966093805047,-0.1142847570697675,-0.41147737292816666,0.2250551355374759,0.21778468270395568,-0.14745735214461642,-0.0811121619949186,-0.10652541322035373,2.7781029588032376e-148,0.982752254535471,0.001095325822390571,-0.08821526646983129,0.00801889144754558,Gleichmäßige Abnahme
Pen 5,230515_230621,230515_230622,2023-06-01,0.07220958339062299,-2.5036147437582548,0.3922736282211278,-0.3200640448305048,-137.81511875096052,-6.509005607100003,0.8375392620963663,-0.7653296787057433,-168.25076118586588,-6.7055794087156,0.8614430940791479,-0.7892335106885249,-169.06362070901426,-6.754882869776293,0.8653121916098074,-0.7931026082191844,-169.19129333690844,0.22557360487190656,0.07220958339062299,0.3789376263531901,0.09429977354735213,0.18575430275311636,0.26539290699069673,-0.32006404483050477,3.4444921874999685e-218,1.0,0.0,0.5119406899058578,0.07220958339062299,0.8320008923031561,0.23740751860086842,0.4561526581111239,0.5677287217005919,-0.2695643474087018,1.7316702837166034e-61,0.980364537558671,0.004559741287595488,0.6514076853278206,0.07220958339062299,0.8722231753334139,0.2511744439121241,0.6060060053589362,0.6968093652967049,-0.15945203157430615,7.350080823799201e-50,0.8465879876898537,0.006248599441118962,0.7124968102774533,0.07220958339062299,0.8722231753334139,0.2331129826984065,0.6769894344338717,0.7480041861210348,-0.09555804129453624,4.234990208290807e-44,0.6902299703469189,0.004968622336997832,-0.11330037260274063,-0.043501576528541384,Steile Abnahme
Pen 6,221003_221107,221003_221110,2022-11-03,-0.04906777041877006,-1.0014723245996442,0.1761005049970498,-0.22516827541581985,-200.0,-0.6229829298002937,0.08245927333530788,-0.13152704375407792,-200.0,-0.93775536979879,0.12364842813822269,-0.17271619855699274,-200.0,-3.356348260641554,0.5117052924793927,-0.5607730628981628,-200.0,0.05882536155131029,-0.04906777041877006,0.16671849352139062,0.06634083935608599,0.030812081924423095,0.08683864117819748,-0.22516827541581974,1.928035222289203e-168,0.9999999999999993,1.2390151057621073e-09,0.1100873343803891,-0.04906777041877006,0.1761005049970498,0.05702149321043005,0.09668794039761133,0.12348672836316688,-0.02873969263316539,0.00011217312318441503,0.1931695612915051,0.007020287360931231,0.09652693480780121,-0.04906777041877006,0.1761005049970498,0.04858235397080973,0.08774530697670924,0.10530856263889318,0.002345347406309405,0.4476202215299333,0.004895760263289392,0.003078154363966543,0.15155598028391096,-0.04906777041877006,0.5015786071946959,0.1135949009975824,0.1342533968029474,0.16885856376487451,-0.03732567299588161,6.893786507371458e-23,0.4434961724388032,0.003245209530746105,-0.0801104375568804,0.0021464950906790554,Gleichmäßige Abnahme
Pen 6,230515_230622,230515_230622,2023-06-01,-0.04257063410345872,-1.8264508717995953,0.16491550232274457,-0.20748613642620328,-200.0,-5.713231606693436,0.5282943196583944,-0.5708649537618531,-200.0,-6.385189891621913,0.5953094956242263,-0.637880129727685,-200.0,-6.266982044203784,0.5827962742264677,-0.6253669083299265,-200.0,0.05684980626743036,-0.04257063410345872,0.15627024663831943,0.061131189195485616,0.03103636897180797,0.08266324356305274,-0.20748613642620325,3.4444921874999685e-218,1.0,0.0,0.26751164435036373,-0.04257063410345872,0.5232258316651661,0.17749839816737403,0.22580156566863663,0.30922172303209083,-0.2025181337935875,1.3607224762554443e-71,0.9898983132872798,0.0024452121906211283,0.3909007560992278,-0.04257063410345872,0.595153395360843,0.20497774576671338,0.35384947863208405,0.42795203356637157,-0.13478807661401768,4.486170693671225e-63,0.9083483125304027,0.003941436175541136,0.4497623090369399,-0.04257063410345872,0.60451880572464,0.19662641675030115,0.4198125053000871,0.4797121127737927,-0.08502371501909756,1.4987074038297574e-54,0.7680485636284119,0.0036265212410792618,-0.08933812976141807,-0.029373604693622483,Gleichmäßige Abnahme
